No Urut APPD;No Urut Barat-Timur;Kode PWK;Perwakilan BPKP;Korwas/ Dalnis;PIC Narasi;Tema Pengawasan;Judul Lama Tema di Buku;"Usulan Judul Baru (untuk yg warna Merah)
atau Judul yang Lebih Menarik/""Menjual"" (untuk yang warna putih)";Kebermanfaatan / Dampak;Rendal Substantif;Kode Cluster;Nama Cluster APPD 2022;APakah sudah dibahas di FGD Westin?;"Apakah program yang diawasi ini strategis/tidak? Mengapa program ini strategis?
 Apakah dimuat dalam RPJMD/Renstra?(Lengkapi dengan dokumen Renstra/RPJMD/RKPD) 
 Atau apakah menjadi concern Kepala Gubernur?
Poin ini adalah poin krusial yang akan menentukan persepsi Pak Kepala dalam penentuan strategis atau tidak";ada tidaknya permasalahan/isu yg sedang terjadi (concern Gub);Kejelasan tujuan dan dampak program;Nilai Rupiah dari program/anggaran (dalam konteks multiyears / tahunan). Apakah nilainya signifikan?;"Risiko kegagalan program dan permasalahan lainnya jika tidak diawasi 
atau Potensi bernilai ekonomis tinggi jika tidak diawasi";Rendal Substansi;TW I;TW II;TW III;TW IV;TW I;TW II;TW III;TW IV;;Sudah Semua? (v);Catatan
25;5;13;Jawa Timur;Fajar Hudoyo;Roy;Pengawasan atas Program One Pesantren, One Product (OPOP);Program One Pesantren, One Product (OPOP);Program One Pesantren One Product (OPOP) untuk mendukung Pengembangan Ekonomi Syariah Nasional.;Tidak;D1.04;1;Pemulihan Ekonomi;;Program OPOP merupakan salah satu program unggulan Pemprov. Jawa Timur yang masuk dalam program prioritas "Nawa Bhakti Satya" (Masuk RPJMD 2018-2023). Program ini muncul dari besarnya potensi pondok pesantren yang ada di Jawa Timur untuk mendorong pemberdayaan masyarakat berbasis pondok pesantren.;Program OPOP perlu dilakukan pengawasan karena merupakan program unggulan Pemprov. jawa Timur. Selain itu, Inspektorat Provinsi Jawa Timur juga memberikan dukungan karena Inspektorat belum bisa melakukan pengawasan secara intensif.;"Pelaksanaan program OPOP dimaksudkan untuk
meningkatkan kesejahteraan masyarakat yang berbasis pesantren, santri, dan alumni pesantren.  Target program OPOP Provinsi Jawa Timur sampai tahun 2024 yaitu 1.000 santripreneur, 1.000 produk unggulan pesantren, 1.000 sosiopreneur.";Dengan jumlah pondok pesantren sebanyak lebih dari 6.000, jumlah santri hampir satu juta yang tersebar di 38 kabupaten/kota, serta memiliki 1.595 koperasi pondok pesantren, program OPOP memiliki potensi ekonomi yang besar untuk dikembangkan demi mendorong kesejahteraan masyarakat. Anggaran terkait program OPOP Jatim yaitu 4,9 M (2020), 6,9 M (2021), 5,8 M (2022), 6 M (2023), 6 M (2024).;sudah ada di power point;D 2.3;;✓;;;;✓;;;;belum;"perlu informasi udah jalan berapa lama, supaya bisa ngecek capaian, dan ngeliat dampaknya
- perlu data indikator  dampak dan capaian di RPJMD"
26;4;13;Jawa Timur;Fajar Hudoyo;Roy;Pengawasan atas Pengembangan Ekonomi Kerakyatan Dengan Basis Koperasi dan UMKM di Jawa Timur;Pengembangan Ekonomi Kerakyatan Dengan Basis Koperasi dan UMKM di Jawa Timur;Pengembangan Ekonomi Berbasis Koperasi dan UMKM sebagai tulang punggung ekonomi Provinsi Jawa Timur;Tidak;D1.04;1;Pemulihan Ekonomi;;Pengembangan ekonomi kerakyatan dengan basis koperasi dan UMKM merupakan salah satu sasaran strategis Pemerintah Provisi Jawa Timur, yang tertuang dalam RPJMD 2019 – 2024 dengan nama program prioritas "Nawa Bhakti Satya".  Nawa Bhakti Satya No. 7 dengan nama "Bhakti: Jatim Berdaya", menjadi program unggulan Gubernur Provinsi Jawa Timur, yang bertujuan untuk memperkuat ekonomi kerakyatan dengan berbasis UMKM dan koperasi.;Dengan adanya pandemi Covid-19, berdampak langsung terhadap keberlangsungan usaha UMKM dan koperasi. ;Penguatan UMKM dan koperasi dari sisi penguatan kelembagaan, pemasaran produk, akses pembiayaan, penguatan produksi dan restrukturisasi usaha, serta penguatan kapasitas SDM UMKM dan koperasi.;Kontribusi UMKM dan koperasi sangat besar pada sektor perekonomian Jawa Timur yaitu 57,25% dan berpengaruh pada 78% tenaga kerja. Jumlah tersebut sangat signifikan pengaruhnya pada struktur perekonomian Jawa Timur.;"Risiko terkait program:
(1).  Kebijakan terkait program tidak jelas 
(2).  Kebijakan terkait program tidak dilaksanakan
(3). Tidak memiliki sistem, pedoman operasional atas program dan kegiatan.
(4). Kebijakan, sistem, pedoman, dan ketentuan justru menghambat efektifitas dan efisiensi pelaksaan progam dan kegiatan
(5). Koordinasi antar pejabat OPD yang terkait tidak berjalan. 
(6). Pelaksnaan program dan kegiatan tidak efisien, efektif dan ekonomis
(7). Data kinerja dan output program/kegiatan tidak valid
";D 1.4;;;;;;✓;;;;SUDAH OK;Apakah program ada tidak di RPJMD?
27;20;14;Kalimantan Barat;Ade Sunardi;Roy;Pengawasan atas Pemanfaatan Informasi Geospasial Untuk Mendukung Pembangunan Berkelanjutan;Pemanfaatan Informasi Geospasial Untuk Mendukung Pembangunan Berkelanjutan;;Tidak;D1.03;3;Penguatan Infrastruktur dan Konektivitas;;Dalam RPJMD Perubahan Provinsi Kalimantan Barat Tahun 2018 - 2023, disebutkan permasalahan strategis terkait data berbasis spasial yaitu belum dimanfaatkannya data berbasis spasial dalam berbagai sektor pembangunan. Provinsi Kalimantan Barat memiliki luas 147ribu km2 dan merupakan daerah terluas ke-4 di Indonesia setelah Papua, Kaltim, dan Kalteng perlu memanfaatkan informasi geospasial untuk mendukung pembangunan.;Dalam pemanfaatan informasi geopasial, Pemerintah Provinsi Kalimantan Barat sudah mempunyai portal geopasial, namun data yang disajikan belum up to date dan lengkap sehingga tidak dapat dimanfaatkan secara maksimal;Tujuan dari pemanfaatan informasi geospasial untuk mendukung pembangunan berkelanjutan di wilayah Provinsi Kalimantan Barat yaitu mewujudkan Misi Provinsi Kalimantan Barat yang ke-6 yaitu "Mewujudkan pembangunan berwawasan lingkungan";Belum dijabarkan dalam KAK;Belum dijabarkan dalam KAK;D 1.3;;;;;;;✓;;;belum;keterkaitan penggunaan data geospasial dengan pembangunan berkelanjutan?
28;10;14;Kalimantan Barat;Ade Sunardi;Roy;Pengawasan atas Percepatan Pembangunan Kawasan Ekonomi pada Kawasan Perbatasan Negara di Aruk;Percepatan Pembangunan Kawasan Ekonomi pada Kawasan Perbatasan Negara di Aruk;;Tidak;D1.03;2;Pengembangan Kawasan dan Ekonomi Regional;;Percepatan pembangunan ekonomi di kawasan perbatasan di Aruk adalah salah mandat presiden sesuai Inpres Nomor 1 tahun 2021 tentang Percepatan Pembangunan Ekonomi pada Kawasan Perbatasan Negara Aruk, Motaain, Kabupaten Belu, Nusa Tenggara Timur, dan Skouw, Distrik Muara Tami, Kota Jayapura, Papua. ;Presiden menginstruksikan kepada Gubernur Kalimantan Barat untuk memfasilitasi penyiapan lahan siap bangun, mempercepat proses perizinan sesuai dengan kewenangannya, dan menyediakan anggaran yang diperlukan untuk pelaksanaan program oleh dinas atau unit kerja terkait pembangunan ekonomi di kawasan perbatasan di Aruk.;Program ini bertujuan untuk mempermudah dan meningkatkan ekspor ke luar negeri melalui jalur darat. Selain itu, juga bertujuan untuk meningkatkan lapangan pekerjaan dan kesejahterahan masyarakat sekitar.;Belum dijabarkan dalam KAK;Belum dijabarkan dalam KAK;D 1.3;;;✓;;✓;;;;;belum;data terkait capaian kinerja, (mulai tahun 2021), melibatkan lintas KL, porsi dana daerah berapa?
29;36;15;Kalimantan Tengah;Agus Wibowo;Asri;Pengawasan atas Perijinan Lahan;Perijinan Lahan;;Ya;D1.02;5;Ketahanan Bencana dan Lingkungan Hidup;;Wilayah Kalimantan Tengah seluas 15,5juta Ha didominasi areal hutan. Pemanfaatan hutan untuk tujuan ekonomi merupakan hal yang tidak terelakkan. Perizinan lahan menjadi instrumen yang dapat digunakan untuk mengendalikan risiko kerusakan lingkungan dan sekaligus mengoptimalkan pemanfaatan hutan. ;Pada tahun 2021 sebanyak 79 perizinan lahan di Kalimantan Tengah yang bermasalah terdiri atas 20 izin dievaluasi dan 59 izin dicabut oleh pemerintah pusat yang ditetapkan dalam SK. 531/MENLHK/SETJEN/KUM.1/8/2021 tanggal 30/8/2021 ttg Data dan Informasi Kegiatan Usaha yang Telah Terbangun di Dalam Kawasan Hutan yang Tidak Memiliki Perijinan di Bidang Kehutanan Tahap II, dan Keputusan Menteri Lingkungan Hidup dan Kehutanan Republik Indonesia Nomor SK.01/MENLHK/SETJEN/KUM.1/1/2022 Tentang Pencabutan Izin Konsesi Kawasan Hutan.;"Perizinan lahan bertujuan untuk mengatur dan memastikan penggunaan lahan yang telah memiliki izin, pemberian izin di lokasi yang sesuai peruntukannya

belum dinyatakan secara spesifik target atau indikator kinerja perizinan lahan";BELUM ADA;"1. Penggunaan lahan tanpa ijin
2. Penggunaan lahan melebihi batas yang diijinkan
3. Penggunaan lahan menyalahi aturan dan norma yang berlaku
4. Tumpang tindih penggunaan lahan

Sedangkan risiko strategis yang dapat diidentifikasi antara lain berupa sengketa lahan dengan masyarakat dan timbulnya bencana alam banjir dan kebakaran hutan akibat pemberian ijin yang tidak terkendali.";D 1.3;;;;✓;;✓;;;;belum;
30;35;15;Kalimantan Tengah;Agus Wibowo;Asri;Pengawasan atas Penanganan Bantingsorkarhutla (Bencana Alam Banjir, Puting Beliung, Tanah Longsor, Kebakaran Hutan dan Lahan);Penanganan Bantingsorkarhutla (Bencana Alam Banjir, Puting Beliung, Tanah Longsor, Kebakaran Hutan dan Lahan);;Ya;D2.03;5;Ketahanan Bencana dan Lingkungan Hidup;;Di Provinsi Kalimantan Tengah sampai dengan bulan September 2021 telah terjadi 20 kali banjir yang melanda 9 Kab/Kota dengan 47.043 jiwa terdampak serta memutus jalur transportasi. [tidak ada informasi terkait substansi penanganan bencana di dokumen perencanaan maupun concern Gub];"BELUM ADA

tidak dinyatakan permasalahan terkait penanganan bencana";"BELUM ADA

belum dinyatakan secara spesifik target atau indikator kinerja penanganan bencana";"Rp500.000.000,00 masing-masing kepada Kota Palangkaraya, Kabupaten Pulang Pisau, Kabupaten Katingan

Pengeluaran BTT dari pemda

[tidak disebutkan jumlah total anggaran]";manajemen pra bencana, saat bencana dan pasca bencana tidak dilaksanakan dengan baik sehingga dampak bencana yang dialami masyarakat semakin besar;D 2.3;;✓;;;;✓;;;;belum;
31;55;16;Kalimantan Selatan;Aderial Adelis;Widi;Pengawasan atas Optimalisasi PAD Pajak Air Permukaan;Optimalisasi PAD Pajak Air Permukaan;;Ya;D3.01;7;Pengelolaan dan Optimalisasi PAD;;Pandemi Covid-19 telah memberikan dampak besar terhadap realisasi penerimaan daerah di seluruh Pemerintah Daerah Kabupaten/Kota dan Pemerintah Provinsi Kalimantan Selatan. Oleh karena itu, perlu adanya upaya meningkatkan kinerja PAD melalui intensifikasi dan ekstensifikasi atas pajak air permukaan. - RPJMD/Renstra belum ada (Tambahan: Urgensi PAD Pajak Air Permukaan diangkat: -  proporsi PAD atau Potensinya) plus isue tata kelola yang terjadi;"Kontribusi Pajak Air Permukaan dalam peningkatan PAD belum potimal yaitu dari sektor pertambangan dan penggalian serta pertanian kehutanan dan perikanan yang mendominasi perekonomian Provinsi Kalimantan Selatan, kontribusi BUMD  kepada Pemerintah Provinsi Kalimantan Selatan atas Pajak Air Permukaan khususnya dari Perusahaan Daerah Air Minum (PDAM), pendapatan  ikutan dari pengujian kualitas air yang dilakukan oleh Laboratorium Kesehatan  Daerah (Labkesda) Provinsi Kalimantan Selatan
(Isue: pengukuran meter air, perizinan oleh Balai Besar pungut oleh pemda) ";Ekstensifikasi dan intensifikasi PAD melalui pajak air permukaan. Tahun 2019 , realisasi penerimaan daerah sebesar 73,88%, pada tahun 2020 sebesar 79,31% dan tahun 2021 (s.d. 30 September sebesar 25,30%);Belum ada nilai rupiah (potensi PAD dari pajak air permukaan);Belum dijabarkan dalam KAK;D 3.1;;;;✓;;✓;;;;belum;Tata kelola OPAD, risiko kegagalan program
32;37;16;Kalimantan Selatan;Aderial Adelis;Widi;Pengawasan atas Kewajiban Reklamasi Pemegang Izin Usaha Pertambangan (IUP) Batubara;Kewajiban Reklamasi Pemegang Izin Usaha Pertambangan (IUP) Batubara;;Ya;D1.02;5;Ketahanan Bencana dan Lingkungan Hidup;;"Sektor pertambangan sebagai salah satu penggerak roda perekonomian dan pembangunan nasional yang terbesar bagi Indonesia termasuk batubara. Kenaikan produksi batubara di Indonesia tidak diikuti peningkatan reklamasi. Pada tahun 2015 produksi batubara di Indonesia sebanyak 461,29 Juta Ton, sedangkan pada tahun 2018 meningkat sebanyak 20,92% menjadi 557,77 Juta Ton. Disisi lain, upaya reklamasi yang dilaksanakan hanya sebanyak 3,27% dari 6,73 Ha pada tahun 2015 menjadi 6,95 Ha pada tahun 2018.Kurang lebih terdapat 600 perusahaan sektor pertambangan di Kalimantan Selatan. Sektor Pertambangan Batuabara cenderung merusak lingkungan dikarenakan ketidakpatuhan pemegang IUP yang tidak melaksanakan reklamasi berkaitan dengan nilai jaminan reklamasi yang kecil dibandingkan biaya yang sebenarnya. Bagi para pemegang IUP Pertambangan Batubara sebagaimana di atur dalam Perjanjian IUP diwajibkan untuk melakukan reklamasi terhadap lubang hasil aktivitas pertambangan yang dilakukan. Posisi per Tahun 2020 di Kalimantan Selatan terdapat 814 lubang bekas galian tambang batubara tidak direklamasi (Jaringan Advokasi Tambang 25 Januari 2021).
(Catatan: Urgensi pengawasan: - Batasan kewenangan untuk pertambangan, data perusahaan pertambangan baik yang berizin maupun belum) - pemenuhan kewajiban reklamasinya beserta dampaknya)";Pertambangan Batubara sebagaimana di atur dalam Perjanjian IUP diwajibkan untuk melakukan reklamasi terhadap lubang hasil aktivitas pertambangan yang dilakukan. Posisi per Tahun 2020 di Kalimantan Selatan terdapat 814 lubang bekas galian tambang batubara tidak direklamasi (Jaringan Advokasi Tambang 25 Januari 2021).;Hilangnya potensi penerimaan dari jaminan reklamasi kurang lebih 587 milyar rupiah.;Belum ada;Meningkatnya kerusakan lahan akibat lahan pertambangan yang tidak direklamasi, Meningkatnya pencemaran lingkungan berupa hilangnya vegetasi hutan, flora dan fauna serta lapisan tanah, Tidak dicairkannya jaminan reklamasi, Potensi adanya pemegang IUP yang belum melaksanakan reklamasi yang tidak ditemukan, ilegal, atau merupakan kewenangan Kementerian ESDM.;D 1.2;;;✓;;;;✓;;;Belum;Jaminan reklamasi, tata kelola
33;21;17;Kalimantan Timur;Fajar Hudoyo;Frida;Pengawasan atas Program Konektivitas Kawasan Strategis Provinsi dengan Sentra Produksi;Program Konektivitas Kawasan Strategis Provinsi dengan Sentra Produksi;;Ya;D1.03;3;Penguatan Infrastruktur dan Konektivitas;;"Kondisi infrastruktur yang kurang memadai akan mengurangi daya tarik investor dan wisatawan baik asing maupun domestik yang akan masuk ke wilayah Kalimantan Timur ditambah lagi saat ini terdapat beberapa Proyek Strategis Nasional yang perlu didukung dengan infrastruktur jalan yang baik.
";Konektivitas infrastruktur perhubungan seperti prasarana jalan di Kalimantan Timur masih belum optimal mendukung kegiatan sosial ekonomi masyarakat, terutama masih terbatasnya jaringan jalan dan prasarana perhubungan di kawasan pedalaman dan perbatasan.;Sesuai sasaran 19 dari 28 pada RPJMD 2019-2023 dengan indikator kinerja Jumlah kawasan strategis provinsi yang terhubung dengan kawasan sentra produksi, target 2021: sebanyak 3 (kawasan);"Tingkat kemantapan jalan provinsi (%), target 2021: 63,46
Pendanaan 1,33 T
";"1) Perencanaan dan pembangunan infrastruktur tersebut sudah dilakukan pada beberapa lokasi prioritas tetapi tidak berfungsi sebagaimana yang diharapkan. 
2) Pembangunan infrastruktur yang belum direalisasikan tidak dapat dilanjutkan/dilaksanakan karena berbagai kendala yang belum dapat diatasi.
";D 1.3;;;;;;;;✓;;;Jaminan reklamasi
34;38;17;Kalimantan Timur;Fajar Hudoyo;Frida;Pengawasan atas Program Penanganan Krisis/Defisit Air Baku;Program Penanganan Krisis/Defisit Air Baku;;Ya;D1.02;5;Ketahanan Bencana dan Lingkungan Hidup;;Semakin menurunnya kualitas lingkungan hidup menjadi salah satu permasalahan utama pembangunan Provinsi Kalimantan Timur.  Air baku yang merupakan kebutuhan mendasar masyarakat, pertanian, dan industri masih sulit untuk didapatkan. Kondisi saat ini sejak tahun 2018 hingga tahun 2023 seluruh wilayah Provinsi Kalimantan Timur mengalami defisit penyediaan air baku. Tahun 2023 defisit kebutuhan air sekitar 108 Juta m3/Tahun.;Defisit air baku lebih disebabkan masih kurangnya pembangunan infrastruktur pengambil air baku pada air permukaan dan semakin berkurangnya cadangan air tanah serta beberapa prasarana yang telah terbangun namun belum dioptimalkan seperti pembangunan bendungan dan rehabilitasi jaringan irigasi. ;Adanya peningkatan fungsi pelayanan infrastruktur sumber daya air melalui cakupan layanan air minum sebesar 77%, luas lahan pertanian yang beririgasi seluas 15.558 Ha serta luas genangan banjir perkotaan mencapai 505 Ha pada tahun 2021.;Peningkatan infrastruktur pengolahan dan distribusi air baku akan dengan indikator program kapasitas air baku membutuhkan anggaran sebesar Rp256,65 M. Sedangkan peningkatan pelayanan air minum membutuhkan anggaran Rp 265,21 M.;"Arah dan kebijakan dalam menentukan strategi dalam pencapaian sasaran strategis dalam menjawab isu strategis tersebut kurang tepat, serta program dan kegiatan yang dilaksanakan tidak efektif. 
";D 1.2;;;✓;;;;✓;;;;
35;11;18;Sulawesi Utara;Ade Sunardi;Teguh;Pengawasan atas Pengelolaan Kawasan Industri Mongondow;Pengelolaan Kawasan Industri Mongondow;;Tidak;D1.03;2;Pengembangan Kawasan dan Ekonomi Regional;;Merupakan sakah satu program prioritas daerah Sulawesi Utara untuk menjadikan Bolaang Mongondow sebagai pusat pertumbuhan ekonomi baru di Sulawesi Utara. Penyempurnaan regulasi dan penyempurnaan rencana tata ruang dalam rangka penyiapan wilayah Kecamatan Lolak menjadi kawasan industri sedang dibahas oleh Pemerintah Provinsi Sulawesi Utara bersama Pemerintah Kabupaten Bolaang Mongondow ;"Dalam APBDTahun 2022  Provinsi Sulawesi Utara dan Kab Bolaang Mongondow belum menganggarkan sarana pendukung KIMONG dari sumber dana DAU menunggu persetujuan dana dari MCC (Milenium Challenges Coporation) USA

Bisa digali lagi yang merupakan concern gubernur?
Belum dianggarakn dalam APBD 2022, tidak ada kegiatan yang dilakukan?";"dapat menyerap 33.000 tenaga kerja lokal dan memicu pertumbuhan UMKM di lokasi sekitarnya  untuk mengungkit pemulihan ekonomi nasional.

mewujudkan Sulut sebagai Super Hub di Indonesia Timur. Kimong juga telah ditetapkan sebagai kawasan strategis nasional dan diperkirakan dapat menyerap ±69.700 ribu tenaga kerja, memicu pertumbuhan UMKM di lokasi sekitarnya dan pemulihan ekonomi nasional.

Ada target2 PDRB? Peryumbuhan ekonomi? PAD dll?";nilai investasi mencapai Rp 160 triliun;Kepastian Investasi tidak terlaksana, sedangkan pembangunan Bandara di Lolak/Bolaang Mongondow sementara dilaksanakan yang  membutuhkan anggaran yang besar menjadi kurang bermanfaat;D 1.1;;;;✓;✓;;;;;belum;
36;22;18;Sulawesi Utara;Ade Sunardi;Teguh;Pengawasan atas Pengelolaan Persampahan Regional Kota Manado, Kabupaten Minahasa, Kabupaten Minahasa Utara, dan Kota Bitung;Pengelolaan Persampahan Regional Kota Manado, Kabupaten Minahasa, Kabupaten Minahasa Utara, dan Kota Bitung;;Ya;D1.02;3;Penguatan Infrastruktur dan Konektivitas;;"Merupakan pelaksanaan Tujuan strategis RPJMD: Terwujudnya pengarusutamaan pembangunan berkelanjutan dan berwawasan lingkungan, yang juga sejalan dengan PP No. 35 tahun 2018 tentang Percepatan Pembangunan Instalasi Pengolahan Sampah Menjadi Energi Listrik Berbasis Teknologi Ramah Lingkungan, dimana Kota Manado menjadi salah satu daerah yang menjadi lokasi pelaksanaan percepatan pembangunan instalasi tersebut. 
Produki sampah mencapai 800 ton/hari (tahun 2019) dengan besar penduduk membuang sampah padatnya ke TPA dan sungai, serta laut.
Kota Manado juga termasuk dalam kategori terkotor untuk kategori kota besar di Indonesia (Adipura 2018),
pengelolaan sampah juga diharapkan memberikan dampak ekonomi 



";"1. Umur manfaat TPA perencanaan awal 5 tahun, namun hasil mutual check awal memperkirakan umur manfaat hanya 3 tahun. Diperlukan revisi desain dan anggaran.
2. Jalan masuk ke lokasi TPA belum sepenuhnya bebas
3. Hujan di Kawasan Wori dan lokasi kerjamengganggu Pematangan Lahan

Tidak ada informasi apakah permasalan ini merupakan concern gubernur";"memberikan dampak ekonomi dan menimbulkan dampak lingkungan

menampung 312,29 ton sampah per hari yang dihasilkan oleh 143.131 KK atau setara 572.526 jiwa dengan masa layanan sekitar 5 tahun
enghasilkan energi listrik ramah lingkungan, (ada target jumlah energi yang doihasilkan?)";"Kontrak senilian Rp. 128.594.766.875,00 (Incl.PPN) dan sdg proses usulan tambahan anggaran menjadi Rp170M,yang merupakan dana APBN
Pelaksanaan di tahun 2020 – 2021 dan akan dilanjutkan di Tahun Anggaran 2022

dibangun di atas lahan milik Pemprov Sulut di atas lahan seluas 30 ha

Apakah PSN?";"Hasil mutual check awal memperkirakan umur manfaat TPA hanya 3 tahun, dari perencanaan awal 5 tahun, sehingga diperlukan revisi desain dan anggaran. Jalan masuk ke lokasi TPA juga belum sepenuhnya dibebaskan
tenaga profesional untuk mengelola TPA juga harus dipersiapkan";D 1.3;;✓;;;;;;✓;;belum;
37;39;19;Sulawesi Tengah;Aderial Adelis;Ardilles;Pengawasan Program Pemulihan Pasca Bencana Gempa Tahun 2018;Program Pemulihan Pasca Bencana Gempa Tahun 2018;;ya;D2.03;5;Ketahanan Bencana dan Lingkungan Hidup;;Dalam upayanya bangkit dari gempa tahun 2018, Sulawesi Tengah sangat bergantung pada alokasi anggaran dari pemerintah pusat dan lembaga donor. Sulawesi Tengah hanya mampu memperoleh 23% total pendanaan Rencana Rehabilitasi dan Rekonstruksi Pasca Bencana (R3P). Sementara itu, sampai dengan 2021, alokasi anggaran Provinsi Sulawesi Tengah, Kota Palu, Kabupaten Donggala, dan Kabupaten Sigi untuk pemulihan bencana hanya sebesar hanya Rp 335,34M dari total kebutuhan R3P yang diharapkan Rp35,66T. ;Peraturan Kepala Daerah R3P untuk Kota Palu dan Kabupaten Donggala sudah selesai masa berlakunya tahun 2020 namun belum diperpanjang. Sedangkan Provinsi Sulawesi Tengah dan Kabupaten Sigi masa berlaku peraturan R3P akan berakhir tahun 2021 namun realisasi capaiannya masih rendah;;"Pemerintah Provinsi Sulawesi Tengah telah mengalokasikan 64.820.303.831,00 atau sebesar 187,28% dari kebutuhan namun beberapa program dan kegiatan yang dilaksanakan tidak terkait langsung dengan penanganan pasca bencana.
Jika dibandingkan dengan total kebutuhan pendanaan R3P sebesar Rp35.658.785.233.075, APBD Pemda hanya memenuhi sebesar Rp335.337.850.724 atau sebesar 0,94% dari yang dibutuhkan. Sehingga penuntasan R3P masih sangat tergantung alokasi anggaran Pemerintah Pusat dan lembaga donor. 
";"a.        Kapasitas fiskal APBD  Provinsi dan Kabupaten/Kota sangat terbatas untuk mendukung Rehab dan Rekon Pasca Bencana.
b.        Pembangunan hunian tetap dan infrastruktur terkendala lahan dan data penduduk yang terdampak bencana.
c. Masyarakat terkena dampak bencana beberapa kali kesempatan melakukan demonstrasi dengan menduduki jalan utama sehingga mengganggu kelancaran, kenyamanan dan ketertiban.";D 1.4;;;✓;;;✓;;;;;
38;48;19;Sulawesi Tengah;Aderial Adelis;Ardilles;Peningkatan Diversifikasi dan Ketahanan Masyarakat melalui Pemanfaatan Lahan Pekarangan dengan Sistem Pertanian Terintegrasi;Revitalisasi KEK Palu;;ya;D1.03;2;Pengembangan Kawasan dan Ekonomi Regional;;;;;;;D 1.2;;;✓;;;✓;;;;;
39;49;20;Sulawesi Tenggara;Fajar Hudoyo;Hanes;Pengawasan atas Pengelolaan Industri Perikanan dalam Mendukung Pertumbuhan Ekonomi Daerah;Pengelolaan Industri Perikanan dalam Mendukung Pertumbuhan Ekonomi Daerah;;Ya;D1.02;6;Ketahanan Pangan;Ya; Provinsi Sulawesi Tenggara memiliki potensi yang besar, baik untuk perikanan budidaya maupun perikanan tangkap, yang kemudian dikembangkan kawasan shrimp estate di Kabupaten Muna dan Kabupaten Buton Tengah dengan luasan sekitar 2.800 hektar. Sementara itu, perlu pula dibangun sentra kelautan dan perikanan terpadu sebagai pusat bisnis kelautan dan perikanan terpadu yang mengintegrasikan sistem produksi, pengolahan dan pemasaran. ;NA;NA;"Produksi dan Nilai Produksi Perikanan Tangkap di Laut Tahun 2018 adalah 238.282 Ton dengan nilai Rp5.380.215.355.000,00. Sedangkan, Produksi dan Nilai Produksi Perikanan Tangkap di Perairan Umum Daratan Tahun 2018 adalah 2.057 Ton dengan nilai Rp49.124.295,00.

";"• Kebijakan daerah belum mendukung program prioritas nasional dalam rangka meningkatkan produksi perikanan; 
• Keberadaan dan kecukupan infrastruktur pelabuhan yang belum memadai dikaitkan dengan seluruh aktivitas usaha perikanan dan luasnya wilayah perairan;
• Penanganan Illegal Fishing di Daerah belum dikelola dengan optimal;
• Sistem informasi statistik perikanan belum dikelola dengan baik;
• Belum berjalannya Sistem Logistik Ikan Nasional (SLIN) untuk memperkuat dan memperluas konektivitas antara sentra produksi hulu, produksi hilir, dan pemasaran secara efisien;
• Keterbatasan dan tidak meratanya suplai bahan baku untuk industri pengolahan ikan;
• Daya saing produk pengolahan perikanan masih rendah
• Keterbatasan pasokan bahan baku industri
• Usaha skala UMK : produktivitas, kualitas, kuantitas produksi masih rendah dan tidak kontinyu
";D 1.2;;;;;✓;;;;;belum;"1. Trend Peningkatan Produksi Perikanan seharusnya disajikan
2. Analisis Faktor2 yang Paling Berpemgaruh terhadap peningkatan Produksi Perikanan harap disajikan
3. Latar Belakang juga perlu menggambarkan Concern Gubernur
4. Nilai Anggaran dan Kegiatan dari Program Peningkatam Perikanan perlu ditampilkan"
40;57;20;Sulawesi Tenggara;Fajar Hudoyo;Hanes;Pengawasan atas Pengelolaan Industri Pertambangan dalam Mendukung Pertumbuhan Ekonomi Daerah;Pengelolaan Industri Pertambangan dalam Mendukung Pertumbuhan Ekonomi Daerah;;Ya;D1.02;7;Pengelolaan dan Optimalisasi PAD;;"Trend peningkatan Penerimaan daerah dari Royalti Pertambangan dan Iuran Tetap di Provinsi Sulawesi Tenggara 2013 s.d. 2020 semula Rp.21 Milyar menjadi Rp.256 Milyar. Selain itu terjadi peningkatan Investor BUMN maupun Swasta Mancanegara dan Lokal yang menjalankan Ijin Usaha Pertambangan serta  telah membangun Smelter untuk pengolahan hasil tambang dan telah ditetapak sebagai  Kawasan Industri, dengan sumber tambang strategis yang tersedia di Sultra, seperti: Nikel, Aspal, Emas, Biji Besi, dan Tanajarang.
";NA;NA;NA;"• Pemantauan atas pelaksanaan pengelolaan industri tambang yang telah memperoleh ijin tambang belum optimal baik oleh kl terkait maupun pemda,
• Bagi hasil yang belum memadai bagi pemda dikaitkan dengan isu kerusakan lingkungan dan infrastruktur disekitar industri tambang,
• Kontribusi terhadap PAD bagi pemda baik prov maupun kab/kota belum memadai,
• Ketaatan investor tambang atas regulasi spt terkait kompensasi atas reklamasi laut yang tidak sesuai ketentuan,
• Tenaga kerja lokal tidak terserap secara optimal sehingga ada isu sosial dengan keberadaan tenaga kerja asing,
• Isu kerusakan lingkungan,
• Tanajarang yang dikelola secara ilegal;
• Terdapat penambang ilegal.
";D 1.2;✓;;;;;✓;;;;belum;"1. Trend Peningkatan Produksi Pertambangan seharusnya disajikan
2. Analisis Faktor2 yang Paling Berpemgaruh terhadap peningkatan Produksi Pertambangan harap disajikan
3. Latar Belakang juga perlu menggambarkan Concern Gubernur
4. Nilai Anggaran dan Kegiatan dari Program Peningkatam Produksi Pertambangan perlu ditampilkan"
